education,age,_FREQ_,prob_work,hours_0,hours_1,hours_2,hours_3,hours_4,work_work,nowork_nowork
udd2,82,2067,0.0556361877,0.9443638123,0.0425737784,0.0053217223,0.0014513788,0.0062893082,0.0507069722,0.9288152121
udd2,83,1296,0.0516975309,0.9483024691,0.0401234568,0.0038580247,0.0015432099,0.0061728395,0.046692607,0.9369649805
udd2,84,578,0.0397923875,0.9602076125,0.0346020761,0.0017301038,0.0,0.0034602076,0.0348432056,0.9494773519
udd3,30,1301,0.8455034589,0.1544965411,0.1037663336,0.0960799385,0.1029976941,0.5426594927,,
udd3,31,2482,0.8255439162,0.1744560838,0.0882352941,0.0898468977,0.1019339243,0.5455278002,0.7730426165,0.1496531219
udd3,32,3552,0.8119369369,0.1880630631,0.0703828829,0.0836148649,0.0951576577,0.5627815315,0.7603015075,0.1527638191
udd3,33,4342,0.8090741594,0.1909258406,0.0670198065,0.070935053,0.0833717181,0.5877475818,0.7612809316,0.1626637555
udd3,34,4950,0.8107070707,0.1892929293,0.0602020202,0.0713131313,0.0802020202,0.598989899,0.7610698366,0.1607726597
udd3,35,5483,0.8099580522,0.1900419478,0.0563560095,0.0744118183,0.0793361299,0.5998540945,0.7730769231,0.1646153846
udd3,36,8619,0.8586843021,0.1413156979,0.0474533008,0.0542986425,0.072862281,0.6840700777,0.8029966704,0.1331853496
udd3,37,11739,0.882272766,0.117727234,0.0396115512,0.049152398,0.0695970696,0.7239117472,0.8488330341,0.1036505087
udd3,38,14733,0.8976447431,0.1023552569,0.0331907962,0.0413357768,0.066110093,0.7570080771,0.8761093362,0.0840433085
udd3,39,17853,0.9056741164,0.0943258836,0.0325995631,0.0393771355,0.0632386714,0.7704587464,0.8878300155,0.0767330227
udd3,40,17484,0.9090597117,0.0909402883,0.0309997712,0.0366048959,0.0603408831,0.7811141615,0.8920380788,0.0755805568
udd3,41,16899,0.9114740517,0.0885259483,0.0279306468,0.0394697911,0.0550920173,0.7889815965,0.8934797122,0.0730657963
udd3,42,16541,0.9145154465,0.0854845535,0.0266005683,0.0347621063,0.0545916208,0.7985611511,0.8978519196,0.0707647776
udd3,43,15978,0.9197646764,0.0802353236,0.0276630367,0.0356740518,0.0509450494,0.8054825385,0.904654245,0.0662664692
udd3,44,15429,0.9205392443,0.0794607557,0.0279344092,0.0361008491,0.0502300862,0.8062738998,0.9079182216,0.0651468441
udd3,45,15154,0.9216048568,0.0783951432,0.0276494655,0.0335225023,0.0499538076,0.8104790814,0.9081189442,0.0633979285
udd3,46,14897,0.9210579311,0.0789420689,0.0264482782,0.0323555078,0.049003155,0.8132509901,0.9063482621,0.0655222232
udd3,47,14703,0.9215126165,0.0784873835,0.024892879,0.0319662654,0.048969598,0.815683874,0.9085865483,0.064441789
udd3,48,14631,0.9255006493,0.0744993507,0.0265190349,0.0326703575,0.0487321441,0.8175791128,0.9127113552,0.0609389752
udd3,49,14114,0.9226300128,0.0773699872,0.0250106277,0.0318123849,0.0478248548,0.8179821454,0.9131047854,0.0610734115
udd3,50,13301,0.9222614841,0.0777385159,0.0278174573,0.0326291256,0.0466882189,0.8151266822,0.9107748739,0.0626318203
udd3,51,12629,0.9197086072,0.0802913928,0.0281890886,0.0304853908,0.0463219574,0.8147121704,0.9078985718,0.064024094
udd3,52,11941,0.9146637635,0.0853362365,0.0309019345,0.0296457583,0.0458923038,0.8082237669,0.9048358704,0.0664802734
udd3,53,11340,0.9126102293,0.0873897707,0.0283950617,0.0318342152,0.0480599647,0.8043209877,0.8991285403,0.0725490196
udd3,54,11158,0.9095716078,0.0904283922,0.0302025453,0.0324430902,0.0515325327,0.7953934397,0.8968262745,0.0751962844
udd3,55,10794,0.9073559385,0.0926440615,0.0339077265,0.0340930146,0.0489160645,0.7904391329,0.8955376405,0.0765300329
udd3,56,10445,0.9020584011,0.0979415989,0.03255146,0.0336045955,0.0484442317,0.7874581139,0.8882878645,0.0799623706
udd3,57,9859,0.8980626838,0.1019373162,0.0346891165,0.0324576529,0.0480778984,0.782838016,0.8874319644,0.0841167739
udd3,58,9125,0.8928219178,0.1071780822,0.0356164384,0.0370410959,0.0464657534,0.7736986301,0.8816364359,0.0892360651
udd3,59,8551,0.8825868319,0.1174131681,0.0363700152,0.0376564145,0.0473628815,0.7611975208,0.8717692418,0.0982436099
udd3,60,8036,0.8702090592,0.1297909408,0.0390741663,0.0430562469,0.0523892484,0.7356893977,0.8562031513,0.1086125134
udd3,61,7489,0.854453198,0.145546802,0.0376552277,0.0355187608,0.0602216584,0.7210575511,0.8392711892,0.1185944363
udd3,62,7287,0.8394400988,0.1605599012,0.0448744339,0.0414436668,0.0638122684,0.6893097297,0.8270306936,0.1322706461
udd3,63,7168,0.8162667411,0.1837332589,0.0496651786,0.0461774554,0.0684988839,0.6519252232,0.8036842105,0.1478947368
udd3,64,7025,0.7839145907,0.2160854093,0.0609252669,0.0523843416,0.0680427046,0.6025622776,0.7726869117,0.1743917599
udd3,65,6992,0.7336956522,0.2663043478,0.0759439359,0.0599256293,0.0769450801,0.5208810069,0.7320179372,0.2134529148
udd3,66,6812,0.6623605402,0.3376394598,0.0933646506,0.058719906,0.0767762772,0.4334997064,0.6587825449,0.2636596993
udd3,67,6754,0.5663310631,0.4336689369,0.1128220314,0.0667752443,0.0710689962,0.3156647912,0.566827997,0.3466120625
udd3,68,6615,0.4875283447,0.5124716553,0.1300075586,0.0604686319,0.0666666667,0.2303854875,0.4696509863,0.4347496206
udd3,69,6435,0.4177156177,0.5822843823,0.1314685315,0.0571872572,0.0560994561,0.172960373,0.4082106894,0.5135553834
udd3,70,6337,0.3692599022,0.6307400978,0.1371311346,0.0568092157,0.0528641313,0.1224554205,0.3504973669,0.5705090696
udd3,71,6224,0.3189267352,0.6810732648,0.1460475578,0.0467544987,0.0383997429,0.0877249357,0.300120048,0.6164465786
udd3,72,6085,0.2726376335,0.7273623665,0.1377156943,0.0410846343,0.0277732128,0.066064092,0.2562947799,0.6722620266
udd3,73,5938,0.2418322668,0.7581677332,0.1359043449,0.0363758841,0.0242505894,0.0453014483,0.2300272594,0.7083245964
