education,n_individuals,age,moment,mean_sim_value,simulation_sd,min_sim_value,max_sim_value,n_seeds,mean_sim_time_seconds,solve_time_seconds,n_assets,n_experience,n_quad_points,n_data,data_value,data_se,denominator_note,simulation_sd_to_data_se
udd2,50000,84,hours_4,0.20048967756586666,0.0025904976220557175,0.19630149812734082,0.2033570935847321,10,3.8049922227859496,2.383969783782959,20,5,5,578,0.0034602076,0.0024424994867647057,Uses total age-cell frequency,1.0605929033324168
udd2,50000,51,hours_4,0.7238010294948094,0.0031734283721534247,0.7200522961268181,0.7290196238423565,10,3.8049922227859496,2.383969783782959,20,5,5,14835,0.7584091675,0.0035143761006196346,Uses total age-cell frequency,0.9029848488879446
udd2,50000,39,hours_3,0.08682255418820935,0.0018561423531313738,0.08368075042090917,0.08985565356856455,10,3.8049922227859496,2.383969783782959,20,5,5,14860,0.0719380888,0.0021196224837790835,Uses total age-cell frequency,0.8756947840174115
udd2,50000,47,hours_4,0.7140994086849458,0.002917991016058083,0.7100892965372338,0.7185245073269328,10,3.8049922227859496,2.383969783782959,20,5,5,15578,0.7735909616,0.003353101684383443,Uses total age-cell frequency,0.8702363634387167
udd2,100000,84,hours_2,0.19814789841933123,0.0019405030902741396,0.19596354166666666,0.20238706965011444,10,7.141404366493225,2.383969783782959,20,5,5,578,0.0017301038,0.0017286065256403927,Uses total age-cell frequency,1.1225823005355404
udd2,100000,84,hours_4,0.2007669712384818,0.001844513038967135,0.19816825123782514,0.20368303571428573,10,7.141404366493225,2.383969783782959,20,5,5,578,0.0034602076,0.0024424994867647057,Uses total age-cell frequency,0.755174381391722
udd2,100000,79,hours_3,0.009825808257418581,0.0006772669117206207,0.009022431917887591,0.010790114862513052,10,7.141404366493225,2.383969783782959,20,5,5,4695,0.0042598509,0.000950500632653728,Uses total age-cell frequency,0.7125370446411395
udd2,100000,50,hours_3,0.08078773152369464,0.001332700701378327,0.0790747823256571,0.08306344841633567,10,7.141404366493225,2.383969783782959,20,5,5,15191,0.0576657231,0.001891333798560805,Uses total age-cell frequency,0.7046353755177615
udd2,100000,53,hours_3,0.07732096790092954,0.0013910163200917228,0.07535379903598113,0.07948846796771647,10,7.141404366493225,2.383969783782959,20,5,5,14078,0.0583179429,0.0019750712416799206,Uses total age-cell frequency,0.7042866559631424
udd2,250000,84,hours_2,0.19904800280078852,0.0008820619485805309,0.19786453739380716,0.20049733173144085,10,17.28797266483307,2.383969783782959,20,5,5,578,0.0017301038,0.0017286065256403927,Uses total age-cell frequency,0.5102734112690889
udd2,250000,57,work_work,0.8296227445963945,0.001405878101274365,0.8268081284852029,0.8320791335378451,10,17.28797266483307,2.383969783782959,20,5,5,13004,0.8476987448,0.003150895724772084,Approximate: uses total age-cell frequency,0.4461836328703189
udd2,250000,77,hours_3,0.012324719787787134,0.0003562622069954176,0.011727603036226062,0.012814821036464646,10,17.28797266483307,2.383969783782959,20,5,5,6573,0.0044119884,0.0008174763440960171,Uses total age-cell frequency,0.4358073595259567
udd2,250000,39,prob_work,0.8603674598174365,0.0009365448178706525,0.8593249618231883,0.862237739812239,10,17.28797266483307,2.383969783782959,20,5,5,14860,0.9185733513,0.002243524397348909,Uses total age-cell frequency,0.41744356289476203
udd2,250000,39,hours_0,0.13963254018256338,0.0009365448178706486,0.13776226018776105,0.14067503817681173,10,17.28797266483307,2.383969783782959,20,5,5,14860,0.0814266487,0.0022435243973489088,Uses total age-cell frequency,0.41744356289476037
udd2,500000,84,hours_2,0.20035290001675596,0.001081185796448484,0.198288966335459,0.20202147056634664,10,35.37361869812012,2.383969783782959,20,5,5,578,0.0017301038,0.0017286065256403927,Uses total age-cell frequency,0.6254666868435774
udd2,500000,76,hours_3,0.013853045136452946,0.00031565683380177235,0.013486686441753904,0.014470427362262648,10,35.37361869812012,2.383969783782959,20,5,5,7366,0.0058376324,0.000887628369713893,Uses total age-cell frequency,0.3556182345811201
udd2,500000,84,hours_4,0.20011524811112547,0.0007689484113268084,0.19914572069347378,0.20164429779030105,10,35.37361869812012,2.383969783782959,20,5,5,578,0.0034602076,0.0024424994867647057,Uses total age-cell frequency,0.31482029596875977
udd2,500000,43,work_work,0.8351882236132665,0.0007771224441289661,0.8342781898960657,0.8366230252300171,10,35.37361869812012,2.383969783782959,20,5,5,15152,0.8962600547,0.002477165637186397,Approximate: uses total age-cell frequency,0.3137143647009547
udd2,500000,50,hours_1,0.05194266246963797,0.00046548537138336196,0.05118516951909937,0.05279278253229638,10,35.37361869812012,2.383969783782959,20,5,5,15191,0.0366664472,0.0015248586128122972,Uses total age-cell frequency,0.3052646110742472
udd3,10000,84,hours_4,0.19944817145355903,0.009522801869000081,0.18882733148661127,0.22289296494079405,10,1.6847780704498292,2.49468731880188,20,5,5,449,0.0022271715,0.0022246899671937914,Uses total age-cell frequency,4.280507400773725
udd3,10000,39,hours_2,0.06577335612857173,0.0037327527600658343,0.06134108449433698,0.07182209756586197,10,1.6847780704498292,2.49468731880188,20,5,5,17853,0.0393771355,0.001455602917046854,Uses total age-cell frequency,2.564403187401473
udd3,10000,38,hours_2,0.06808479072441641,0.003985107561049186,0.06380208333333333,0.0758834718190009,10,1.6847780704498292,2.49468731880188,20,5,5,14733,0.0413357768,0.0016400259403236707,Uses total age-cell frequency,2.429905200318171
udd3,10000,43,hours_1,0.04704397319833945,0.0031039495535406716,0.04050658357623882,0.05109928722015862,10,1.6847780704498292,2.49468731880188,20,5,5,15978,0.0276630367,0.0012974693755949454,Uses total age-cell frequency,2.3923104559730954
udd3,10000,40,hours_2,0.06396794180072689,0.0033505298165226903,0.06017450606759603,0.07007518796992482,10,1.6847780704498292,2.49468731880188,20,5,5,17484,0.0366048959,0.0014202062077018148,Uses total age-cell frequency,2.359185446699698
udd3,25000,41,hours_1,0.04855364154996332,0.0020558557305538757,0.04613160958766612,0.05314494440653474,10,2.566559362411499,2.49468731880188,20,5,5,16899,0.0279306468,0.0012675310858176352,Uses total age-cell frequency,1.6219371292402842
udd3,25000,84,hours_4,0.1989134509514266,0.0034256826879108197,0.19372467728257797,0.20385292210799297,10,2.566559362411499,2.49468731880188,20,5,5,449,0.0022271715,0.0022246899671937914,Uses total age-cell frequency,1.5398472319412453
udd3,25000,40,hours_3,0.07420371019611023,0.0027637508057108116,0.06975345760673482,0.0783543187104018,10,2.566559362411499,2.49468731880188,20,5,5,17484,0.0603408831,0.001800821213294299,Uses total age-cell frequency,1.5347169309800583
udd3,25000,41,hours_2,0.06265732446606845,0.0022949022392725208,0.05769462400128478,0.06548693872637534,10,2.566559362411499,2.49468731880188,20,5,5,16899,0.0394697911,0.0014978124113776878,Uses total age-cell frequency,1.5321693303113102
udd3,25000,39,hours_3,0.07561839405631887,0.00268435505363764,0.07092198581560284,0.07983327989740302,10,2.566559362411499,2.49468731880188,20,5,5,17853,0.0632386714,0.0018215883623203795,Uses total age-cell frequency,1.4736342793814565
udd3,50000,84,hours_4,0.20048967756586666,0.0025904976220557175,0.19630149812734082,0.2033570935847321,10,3.8973573207855225,2.49468731880188,20,5,5,449,0.0022271715,0.0022246899671937914,Uses total age-cell frequency,1.1644308466601094
udd3,50000,40,hours_1,0.05034585148934269,0.001495215252503143,0.04810141816941809,0.052461646445402584,10,3.8973573207855225,2.49468731880188,20,5,5,17484,0.0309997712,0.0013107527728283533,Uses total age-cell frequency,1.1407301845921372
udd3,50000,39,hours_3,0.0750158268142609,0.001844274692715147,0.07161468772548706,0.07790697674418605,10,3.8973573207855225,2.49468731880188,20,5,5,17853,0.0632386714,0.0018215883623203795,Uses total age-cell frequency,1.0124541476351272
udd3,50000,43,hours_1,0.04661171467762083,0.0012996272525335622,0.044352002572295574,0.048690267977403855,10,3.8973573207855225,2.49468731880188,20,5,5,15978,0.0276630367,0.0012974693755949454,Uses total age-cell frequency,1.0016631428681138
