education,age,n_data,moment,data_value,data_se,denominator_note
udd2,36,7085,hours_0,0.1044460127,0.0036334726139832384,Uses total age-cell frequency
udd2,37,9565,hours_0,0.1000522739,0.0030681715352173468,Uses total age-cell frequency
udd2,38,12100,hours_0,0.0916528926,0.0026230485052694133,Uses total age-cell frequency
udd2,39,14860,hours_0,0.0814266487,0.0022435243973489088,Uses total age-cell frequency
udd2,40,14575,hours_0,0.0837049743,0.002293976773917997,Uses total age-cell frequency
udd2,41,14728,hours_0,0.0855513308,0.002304735881231177,Uses total age-cell frequency
udd2,42,15004,hours_0,0.0857771261,0.0022861686212258562,Uses total age-cell frequency
udd2,43,15152,hours_0,0.0885031679,0.002307395328717503,Uses total age-cell frequency
udd2,44,15237,hours_0,0.0870906346,0.0022842825651897933,Uses total age-cell frequency
udd2,45,15257,hours_0,0.0863865767,0.0022744154400405688,Uses total age-cell frequency
udd2,46,15375,hours_0,0.0883902439,0.0022892809064927844,Uses total age-cell frequency
udd2,47,15578,hours_0,0.0910258056,0.002304635210452871,Uses total age-cell frequency
udd2,48,15708,hours_0,0.0935828877,0.0023238164557793342,Uses total age-cell frequency
udd2,49,15636,hours_0,0.0968278332,0.0023649531868984407,Uses total age-cell frequency
udd2,50,15191,hours_0,0.1056546639,0.002494042086304621,Uses total age-cell frequency
udd2,51,14835,hours_0,0.1071789687,0.0025397631497149713,Uses total age-cell frequency
udd2,52,14402,hours_0,0.1113039856,0.002620719685482608,Uses total age-cell frequency
udd2,53,14078,hours_0,0.1179144765,0.0027181187756138057,Uses total age-cell frequency
udd2,54,13964,hours_0,0.1184474363,0.002734525760068916,Uses total age-cell frequency
udd2,55,13816,hours_0,0.1215257672,0.0027797615099664436,Uses total age-cell frequency
udd2,56,13539,hours_0,0.1287391979,0.002878300897941932,Uses total age-cell frequency
udd2,57,13004,hours_0,0.1361119655,0.0030070344364163536,Uses total age-cell frequency
udd2,58,12185,hours_0,0.13943373,0.003138074977119894,Uses total age-cell frequency
udd2,59,11532,hours_0,0.1525320846,0.0033480344533207062,Uses total age-cell frequency
udd2,60,11168,hours_0,0.1652936963,0.003514853997927164,Uses total age-cell frequency
udd2,61,10557,hours_0,0.1859429762,0.003786579175335343,Uses total age-cell frequency
udd2,62,10144,hours_0,0.2108635647,0.004050160181311748,Uses total age-cell frequency
udd2,63,9703,hours_0,0.248067608,0.004384513491278758,Uses total age-cell frequency
udd2,64,9220,hours_0,0.31670282,0.0048446824820465775,Uses total age-cell frequency
udd2,65,8973,hours_0,0.3833723392,0.0051327847833140166,Uses total age-cell frequency
udd2,66,8725,hours_0,0.4779369628,0.005347663414875498,Uses total age-cell frequency
udd2,67,8583,hours_0,0.5750902948,0.00533576616014696,Uses total age-cell frequency
udd2,68,8433,hours_0,0.6651251038,0.005139275692341065,Uses total age-cell frequency
udd2,69,8358,hours_0,0.7181143814,0.0049213254758894084,Uses total age-cell frequency
udd2,70,8294,hours_0,0.7557270316,0.004717785245841577,Uses total age-cell frequency
udd2,71,8097,hours_0,0.7847350871,0.004567579234506994,Uses total age-cell frequency
udd2,72,8065,hours_0,0.8140111593,0.004332678231937954,Uses total age-cell frequency
udd2,73,8060,hours_0,0.8332506203,0.004151952873495818,Uses total age-cell frequency
udd2,74,7998,hours_0,0.8535883971,0.003952949801422316,Uses total age-cell frequency
udd2,75,7923,hours_0,0.8659598637,0.0038275553888924238,Uses total age-cell frequency
udd2,76,7366,hours_0,0.8821612816,0.003756662193993963,Uses total age-cell frequency
udd2,77,6573,hours_0,0.8941122775,0.0037952205308516003,Uses total age-cell frequency
udd2,78,5726,hours_0,0.9037722669,0.0038972113695161376,Uses total age-cell frequency
udd2,79,4695,hours_0,0.9184238552,0.003994711024097046,Uses total age-cell frequency
udd2,80,3872,hours_0,0.9220041322,0.004309576126010466,Uses total age-cell frequency
udd2,81,3178,hours_0,0.9304594084,0.004512227207687516,Uses total age-cell frequency
udd2,82,2067,hours_0,0.9443638123,0.0050417129079373514,Uses total age-cell frequency
udd2,83,1296,hours_0,0.9483024691,0.006150435106988812,Uses total age-cell frequency
udd2,84,578,hours_0,0.9602076125,0.008130526164046121,Uses total age-cell frequency
udd3,30,1301,hours_0,0.1544965411,0.010020246985229112,Uses total age-cell frequency
udd3,31,2482,hours_0,0.1744560838,0.007617496469827562,Uses total age-cell frequency
