education,age,_FREQ_,prob_work,hours_0,hours_1,hours_2,hours_3,hours_4,avg_wealth,work_work,nowork_nowork,avg_experience,avg_labor_income,avg_wage,avg_hours,var_wage,skew_wage,pens
udd2,41,14728,0.9144486692,0.0855513308,0.0401955459,0.0516702879,0.0669473112,0.7556355242,2.683762234,0.8978013383,0.0630051273,14.119314614,5.250511069,0.0030042247,1718.5662311,1.8908448e-06,2.2161428212,
udd2,42,15004,0.9142228739,0.0857771261,0.0396560917,0.0477872567,0.068315116,0.7584644095,2.806050632,0.8968861664,0.064743917,15.118506638,5.3387727154,0.0030420955,1723.4818109,2.000569e-06,2.2486868819,
udd2,43,15152,0.9114968321,0.0885031679,0.0384107709,0.0442845829,0.0658658923,0.7629355861,3.0189972116,0.8962600547,0.0671697487,16.059800371,5.4456116727,0.0031040593,1731.2395916,2.1776209e-06,2.3658503612,
udd2,44,15237,0.9129093654,0.0870906346,0.0398372383,0.0439062808,0.0632670473,0.765898799,3.1654534839,0.8929812945,0.0701042874,17.125714286,5.5593186605,0.0031635141,1731.1071172,2.4231058e-06,2.4223799692,
udd2,45,15257,0.9136134233,0.0863865767,0.0391295799,0.0407026283,0.0641017238,0.7696794914,3.4446524148,0.8953038901,0.0697425775,18.153597907,5.671742825,0.0032188426,1735.999713,2.6158133e-06,2.3921372049,
udd2,46,15375,0.9116097561,0.0883902439,0.0353821138,0.0433821138,0.0607479675,0.772097561,3.7759938925,0.8925199113,0.0703670252,19.162220125,5.774715557,0.0032726139,1741.2492865,2.8016938e-06,2.4869961271,
udd2,47,15578,0.9089741944,0.0910258056,0.0360123251,0.0396713314,0.0596995763,0.7735909616,4.4820855547,0.8930225132,0.0736068977,20.133987481,5.9338092001,0.0033546017,1745.0317797,3.3050853e-06,2.6811642095,
udd2,48,15708,0.9064171123,0.0935828877,0.0339317545,0.0413801884,0.0536032595,0.7775019099,4.787887921,0.8916852501,0.0759796113,21.047727082,6.0569582665,0.0034120484,1750.2493328,3.4242128e-06,2.6058088367,
udd2,49,15636,0.9031721668,0.0968278332,0.0375415707,0.036838066,0.0571757483,0.7716167818,4.6352742551,0.884820081,0.0801493367,21.911819412,6.1234830959,0.0034615921,1746.5266959,3.583231e-06,2.6345353935,
udd2,50,15191,0.8943453361,0.1056546639,0.0366664472,0.0385096439,0.0576657231,0.7615035218,4.815977537,0.8800226831,0.0859526896,22.752916225,6.1459160244,0.0034758827,1744.148388,3.562072e-06,2.4803737732,
udd2,51,14835,0.8928210313,0.1071789687,0.0387596899,0.0373441186,0.0583080553,0.7584091675,4.9226735547,0.8760535449,0.0882498761,23.679551009,6.1620970902,0.0034863762,1741.0834277,3.6379474e-06,2.4997040924,
udd2,52,14402,0.8886960144,0.1113039856,0.0370781836,0.0370781836,0.0542285794,0.7603110679,5.2478492924,0.8707327404,0.0943667937,24.455199115,6.2070826687,0.0034980087,1746.566138,3.8169555e-06,2.6744140621,
udd2,53,14078,0.8820855235,0.1179144765,0.0390680494,0.0364398352,0.0583179429,0.748259696,6.0876578278,0.8637397236,0.1012768935,25.332111299,6.2152663381,0.0035161901,1739.7447254,4.1004451e-06,2.7555491472,
udd2,54,13964,0.8815525637,0.1184474363,0.0421798911,0.0370237754,0.0540676024,0.7482812948,6.7958229769,0.8615302681,0.1025208592,26.316826164,6.2013583719,0.0035178379,1735.9545085,3.9325543e-06,2.6397756756,
udd2,55,13816,0.8784742328,0.1215257672,0.0408946149,0.0339461494,0.0525477707,0.7510856977,6.8837221671,0.8606419666,0.1038111239,27.332558356,6.2223884629,0.0035156624,1742.860674,4.0039924e-06,2.7927790996,
udd2,56,13539,0.8712608021,0.1287391979,0.039220031,0.0372996529,0.0532535638,0.7414875545,7.2325710555,0.8555966447,0.109768197,28.177141788,6.2172686298,0.0035264825,1739.8185826,3.8822341e-06,2.618787406,
udd2,57,13004,0.8638880345,0.1361119655,0.0385266072,0.0369117195,0.0563672716,0.7320824362,6.9087894525,0.8476987448,0.1190144119,29.125096974,6.1876558929,0.0035169008,1738.1297846,3.8749326e-06,2.6580927432,
