education,n_individuals,seed,age,sim_time_seconds,solve_time_seconds,n_assets,n_experience,n_quad_points,moment,sim_value
udd1,10000,303,46,1.5114703178405762,2.595287322998047,20,5,5,prob_work,0.8356012498740046
udd1,10000,303,47,1.5114703178405762,2.595287322998047,20,5,5,prob_work,0.8377941622058378
udd1,10000,303,48,1.5114703178405762,2.595287322998047,20,5,5,prob_work,0.8443162263386983
udd1,10000,303,49,1.5114703178405762,2.595287322998047,20,5,5,prob_work,0.8436898124683223
udd1,10000,303,50,1.5114703178405762,2.595287322998047,20,5,5,prob_work,0.8483494159471813
udd1,10000,303,51,1.5114703178405762,2.595287322998047,20,5,5,prob_work,0.8500763358778626
udd1,10000,303,52,1.5114703178405762,2.595287322998047,20,5,5,prob_work,0.8465149505051536
udd1,10000,303,53,1.5114703178405762,2.595287322998047,20,5,5,prob_work,0.8385379338589126
udd1,10000,303,54,1.5114703178405762,2.595287322998047,20,5,5,prob_work,0.8234749511367143
udd1,10000,303,55,1.5114703178405762,2.595287322998047,20,5,5,prob_work,0.8158736711734957
udd1,10000,303,56,1.5114703178405762,2.595287322998047,20,5,5,prob_work,0.809740932642487
udd1,10000,303,57,1.5114703178405762,2.595287322998047,20,5,5,prob_work,0.8025245149175881
udd1,10000,303,58,1.5114703178405762,2.595287322998047,20,5,5,prob_work,0.7847769028871391
udd1,10000,303,59,1.5114703178405762,2.595287322998047,20,5,5,prob_work,0.7695725772323317
udd1,10000,303,60,1.5114703178405762,2.595287322998047,20,5,5,prob_work,0.7487496009364691
udd1,10000,303,61,1.5114703178405762,2.595287322998047,20,5,5,prob_work,0.7292870905587668
udd1,10000,303,62,1.5114703178405762,2.595287322998047,20,5,5,prob_work,0.7092206247973192
udd1,10000,303,63,1.5114703178405762,2.595287322998047,20,5,5,prob_work,0.6729826853969291
udd1,10000,303,64,1.5114703178405762,2.595287322998047,20,5,5,prob_work,0.6347318577249201
udd1,10000,303,65,1.5114703178405762,2.595287322998047,20,5,5,prob_work,0.5707747265014512
udd1,10000,303,66,1.5114703178405762,2.595287322998047,20,5,5,prob_work,0.45472039846049356
udd1,10000,303,67,1.5114703178405762,2.595287322998047,20,5,5,prob_work,0.3573725310059715
udd1,10000,303,68,1.5114703178405762,2.595287322998047,20,5,5,prob_work,0.29585037989479834
udd1,10000,303,69,1.5114703178405762,2.595287322998047,20,5,5,prob_work,0.26925366027853825
udd1,10000,303,70,1.5114703178405762,2.595287322998047,20,5,5,prob_work,0.22895215021199272
udd1,10000,303,71,1.5114703178405762,2.595287322998047,20,5,5,prob_work,0.19208410636982065
udd1,10000,303,72,1.5114703178405762,2.595287322998047,20,5,5,prob_work,0.170264093448451
udd1,10000,303,73,1.5114703178405762,2.595287322998047,20,5,5,prob_work,0.1504885993485342
udd1,10000,303,74,1.5114703178405762,2.595287322998047,20,5,5,prob_work,0.12751138494508438
udd1,10000,303,75,1.5114703178405762,2.595287322998047,20,5,5,prob_work,0.1103553581343698
udd1,10000,303,76,1.5114703178405762,2.595287322998047,20,5,5,prob_work,0.0896700143472023
udd1,10000,303,77,1.5114703178405762,2.595287322998047,20,5,5,prob_work,0.08528403160876696
udd1,10000,303,78,1.5114703178405762,2.595287322998047,20,5,5,prob_work,0.07060293658231803
udd1,10000,303,79,1.5114703178405762,2.595287322998047,20,5,5,prob_work,0.05658825464714591
udd1,10000,303,80,1.5114703178405762,2.595287322998047,20,5,5,prob_work,0.04765205337029978
udd1,10000,303,81,1.5114703178405762,2.595287322998047,20,5,5,prob_work,0.042788638878642565
udd1,10000,303,82,1.5114703178405762,2.595287322998047,20,5,5,prob_work,0.04525605398967844
udd1,10000,303,83,1.5114703178405762,2.595287322998047,20,5,5,prob_work,0.06491565235959855
udd1,10000,303,84,1.5114703178405762,2.595287322998047,20,5,5,prob_work,0.7969543147208121
udd1,10000,404,30,1.5576882362365723,2.595287322998047,20,5,5,prob_work,0.683
udd1,10000,404,31,1.5576882362365723,2.595287322998047,20,5,5,prob_work,0.7023
udd1,10000,404,32,1.5576882362365723,2.595287322998047,20,5,5,prob_work,0.7305
udd1,10000,404,33,1.5576882362365723,2.595287322998047,20,5,5,prob_work,0.7494
udd1,10000,404,34,1.5576882362365723,2.595287322998047,20,5,5,prob_work,0.7546
udd1,10000,404,35,1.5576882362365723,2.595287322998047,20,5,5,prob_work,0.7681072428971588
udd1,10000,404,36,1.5576882362365723,2.595287322998047,20,5,5,prob_work,0.7698619171502902
udd1,10000,404,37,1.5576882362365723,2.595287322998047,20,5,5,prob_work,0.7871658824707178
udd1,10000,404,38,1.5576882362365723,2.595287322998047,20,5,5,prob_work,0.7977764423076923
udd1,10000,404,39,1.5576882362365723,2.595287322998047,20,5,5,prob_work,0.801282693656679
udd1,10000,404,40,1.5576882362365723,2.595287322998047,20,5,5,prob_work,0.8021449333466975
udd1,10000,404,41,1.5576882362365723,2.595287322998047,20,5,5,prob_work,0.8123181863777711
udd1,10000,404,42,1.5576882362365723,2.595287322998047,20,5,5,prob_work,0.8113396889111891
